emoji,keywords_ka,keywords_en
🍲,ლობიო|ქვაბი|სუპი|სადილი|ბულიონი|წვნიანი|წიწიბურა|პილპილი|ბორში|მიკროტალღური|ქვაბი საჭმლით|ყაურმა|ჩახოხბილი|ხაში|გაზქურა|ბრინჯი|დედის მომზადებული|კომბოსტო|ლობიანი|ლორი|მარხვა|ნიორი|სამარხვო საჭმელი|ტყემალი|უცხო სუნელი|ქინძი|ყვავილოვანი კომბოსტო|თბილი კერძი|ბორშჩი|დაფნის ფოთოლი|მარილი|ჩიხირთმა|ხარჩო|ხაშლამა|ცხელი საჭმელი|არაჟანი|გემრიელი საჭმელი|ვაზის ფოთოლი|თოლმა|კომბოსტოს თოლმა|მიხაკი|ნაბახუსევი|ნიორი და მარილი|ოსპი|ოხრახუში|რეცეპტები|ღორი|ჭარხალი|ხახვი|ხმელი ქინძი|გაციება|ცხელი კერძი,pot of food|soup|stew|pot|shabu shabu|boiling|scalding|bay leaf|cook|dinner|chive|leek|okra|warm|hearths|hosting|hosts|smelling|steam|steaming|bowl|pasta|scallion|hot|mild|winter
🫕,ფონდიუ|შვეიცარია|ყველი|შოკოლადი|ცხელი,fondue|cheese|chocolate|swiss|melted|melt|pot
🥣,არაჟანი|ნადუღი|ხაჭო|წვნიანი|სუპი|საფუარი|ცომი|ფაფა|ჯამი|მაწონი|შვრია|ფქვილი|ბორშჩი|მიქსერი|ღომი|ჩიხირთმა|ცომის მოზელა|წიწიბურა|ხარჩო|ჯამი კოვზით|ბულიონი|ოსპი|ქვაბი|კოვზი|საცერი|ჭურჭელი|კარაქის დღვება|ჟელატინი|საუზმე|სახამებელი|ყველის ამოყვანა,bowl with spoon|soup|oats|cereal|bowl|basin|bowls|mixtures|yogurt|milk|pot|spoon|breakfast|watery|oatmeal|quinoa|congee
🥗,სალათი|ვეგეტარიანული|დიეტა|დიეტური|სამარხვო|კიტრი|პომიდორი|მარხვა|მწვანე სალათა|სამარხვო საჭმელი|ცეზარი|ჯანსაღი კვება|სტაფილო|ვეგანი|კომბოსტო|მწვანილი|ვეგეტარიანელი|ზეთი|ლანჩი|მაიონეზი|ოხრახუში|ჭარხალი|ჯანსაღი|ბარდა|თეფში|სალათის ფურცელი|ძმარი|კახური ზეთი|მწვანე ხახვი|საკვები|ყაბაყი|ყვავილოვანი კომბოსტო|ბოსტნეული,green salad|salad|healthy|diet|lunch|artichoke|beet|nutrition|radish|tossing|turnip|sandwich|fit|vegan|lettuce|green|asparagus|cucumber|spinach|food|vegetable|parsley|cilantro|dressing
🍿,კინო|კინოთეატრი|ფილმი|პოპკორნი|ბატიბუტი|სერიალი|მიკროტალღური|სიმინდი|ტელევიზორი|წახემსება|ჩიფსი|კომედია|ცირკის კარავი|ატრაქციონების პარკი|დრამა|მსახიობი|ცირკი|ველოდები,popcorn|cinema|movie|show|snack|corn|fair|salty|drama|entertainers|entertaining|grabbing|reviewers|theater|producers|microwave|series|watching|enjoying|actors|actresses|television|tv|caramel|chips|critics|film|playwrights|french fries|butter|doubles|dramatists|spilled tea|cartoons|comedy|comics
🧈,კარაქი|კარაქი პურზე|კარაქის დღვება|გემრიელი|მარტივად|სრიალა|აჭარული|პიურე|რძის პროდუქტი|ცხიმი,butter|smooth|dairy|cooking|fat|food|yellow
🧂,მარილი|პილპილი|მარილიანი|ხმელი ქინძი|მლაშე|სუნელები|უმარილიო|უცხო სუნელი|სვანური|სვანური მარილი|სუნელი|ტოქსიკური|მარილიანი პური|ნიორი და მარილი|ბრაზი|კონტრა|მოხარშული სიმინდი|საკაზმი|სანელებელი|სამზარეულო,salt|salty|pepper|spice|shaker|cumin|peppercorn|seasoning|geeks|toxic|condiment|cooking|margarita|mad|gaming|league of legends
🥫,კეტჩუპი|სოუსი|ტომატი|ალუმინი|კალა|კონსერვი|მურაბა|საწებელი|ტყემალი|ჯემი|თევზი|კოკა-კოლა|თუნუქის ქილა|საჭმელი,canned food|hobos|cans|tin|tomato|crush|crushing|soup|preserved|can|squash
🍱,ბენტო|სადილი სამსახურში|იაპონური ლანჩი|იაპონური|როლი|სუში|ლანჩი,bento box|bento|lunch|sushi|japanese|meal|rice|box|food
🍘,ბრინჯის ორცხობილა|იაპონური|ბრინჯის კრეკერი|სნექი,rice cracker|japanese|snack|cracker|food|rice
🍙,ონიგირი|ბრინჯის ბურთი|იაპონური|ანიმე საკვები|ბრინჯი|სუში|ანიმე საჭმელი|ბრინჯის ბურთულა,rice ball|rice|sushi|japanese|onigiri|ball|anime food|anime|food
🍚,ბრინჯი|მოხარშული ბრინჯი|აზია|აზიური|ჯამი,cooked rice|rice|bowl|saffron|asian|shrimp|china|curry|grain|sushi|cooked|food
🍛,კარი ბრინჯით|რაციონი|ინდოეთი|კარი|სასადილო|ინდური კერძი|ცხარე|ინდური,curry rice|curry|dishes|indian|cumin|turmeric|spicy|saffron|coriander|food|rice
🍜,რამენი|სუპი|ნუდლსი|აზიური წვნიანი|ლაფშა|ანიმე|იაპონია|სტუდენტი|ატრია,steaming bowl|ramen|soup|noodle|pasta|scallion|udon|bowl|noodles|asian|cilantro|chili|spicy|tasting|japanese|duck|anime|college|steaming
🍝,მაკარონი|სპაგეტი|პასტა|რესტორანი|იტალია|სადილი|იტალიური,spaghetti|pasta|dinner|basil|garlic|parsley|dishes|italian|tomato|noodles|bay leaf|oregano|noodle
🍠,ტკბილი კარტოფილი|ბატატი|გამომცხვარი,roasted sweet potato|sweet potato|yam|baked sweet potato|taro|roasted|potato|sweet
🍢,ქაბაბი|შამფური|ზეფირი|ოდენი|იაპონური საკვები|იაპონური|მწვადი|ქუჩის კვება,oden|marshmallow|japanese|skewers|fishcake|kabob|skewer|kebab|street food|seafood|bbq|grilling|food|stick
🍣,სუში|ორაგული|როლი|თევზი|იაპონია|თინუსი|კრევეტი|იაპონური|ბრინჯი|სოია|სვეტსკი,sushi|salmon|shrimp|kelp|fish|seafood|tuna|anime|wasabi|seaweed|japanese|raw fish|ginger|bento|horseradish|sake|rice|rolling|seaweeds|fried shrimp|dinner|dishes|fancy
🍤,კრევეტი|ზღვის პროდუქტები|თევზის|შემწვარი კრევეტი|ტემპურა|ზღვის პროდუქტი,fried shrimp|shrimp|tempura|seafood|fried|sushi|prawn|food
🍥,თევზის კატლეტი სპირალით|თევზის კატლეტი|ნარუტო|ანიმე|რამენი|თევზის ნამცხვარი|სპირალი,fish cake with swirl|fish cake|ramen|narutomaki|japanese|cake|naruto|fish|anime|pastry|food|swirl
🥮,მთვარის ნამცხვარი|ჩინეთი|აზიური|ჩინური|დესერტი,moon cake|mooncake|festival|chinese|mid-autumn|autumn|sweet|dessert|yuèbǐng
🍡,დანგო|იაპონური ტკბილეული|ანიმე|ზეფირი|ტკბილი|იაპონური|ტკბილეული,dango|japanese|dessert|sweet|skewer|anime|stick
🥟,ხინკალი|მთიულეთი|იმერეთი|დუმპლინგი|დემპლინგი|არაჟანი|იმერული|ნიგოზი|ცომი|ფელმენი|გელაქსი|ფქვილი|ქინძი|ხორცსაკეპი|პელმენი|დამპლინგი,dumpling|dim sum|пельмени|gyoza|pierogi|empanada|khinkali|gyōza|asian|jiaozi|food|potsticker
🥠,ბედისწერის ორცხობილა|ჩინური|პროგნოზი|იღბლიანი ორცხობილა|ბედისწერა|ტკბილი,fortune cookie|prophecy|chinese|snack|future|cookie|luck|asian
🥡,ჩინური საჭმლის კონტეინერი|აზიური საკვები ყუთში|გატანით|აზიური ყუთი|წასაღებად|ნუდლსი|სერიალები|წასაღები ყუთი|ჩინური საჭმელი|მიტანა,takeout box|takeout|chinese food|delivery|dim sum|lunch|lazy dinner|dumpling|oyster pail|food|chinese
🦀,კიბორჩხალა|კირჩხიბი|ზღვის პროდუქტი|ზოდიაქო|კრაბი|ფული|ოკეანე,crab|lobster|cancer|crustacean|crustaceans|mudflats|seafood|zodiac|fishmonger|shelled|shells|ocean|astrologers|sea|seas|salt marshes|shellfish|money|shell|mr krabs
🦞,ლობსტერი|ომარი|ზღვის პროდუქტი|ზღვის პროდუქტები|კიბორჩხალა|კიბო|სვეტსკი,lobster|crab|seafood|crustacean|crustaceans|marine|shellfish|dinner|ocean|bisque|fishmonger|shelled|shells|expensive|claws|fancy|red
🦐,კრევეტი|ზღვის პროდუქტი|ოკეანე,shrimp|crab|lobster|prawn|seafood|small|food|crustacean|crustaceans|ocean|shellfish|fishmonger|shelled|shells
🦑,კალმარი|რვაფეხა|ოკეანე|ზღვის პროდუქტი,squid|octopus|seafood|creature|creatures|marine|mollusk|mollusks|ocean|food|kraken|molusc|animal
🦪,მარგალიტი|ხამანწკა|ზღვის პროდუქტები|კოღო|მწერი|სისხლისმსმელი|ხატა|ხ oysters|ხატაური|ხასტა|ოისტერი|ხატამი|ხაზინა|სექსუალური|მოლუსკი,oyster|pearl|mosquito|mussel|shellfish|fly|insect|malaria|bite|diving|seafood|divers|shell|ocean|fancy|yoni
🍦,ნაყინი|ვანილი|დესერტი|ვანილის|ლიმონის|მარწყვის|შოკოლადის|ვანილის ნაყინი|ნაყინი ჭიქაში|ტკბილი|ზაფხული|მარწყვი|საყინულე|რბილი ნაყინი,soft ice cream|ice cream|dessert|milkshake|gelato|vanilla|cone|mint|licking|dripping|freezers|icecream|summer|soft serve|cream|sweet|ice|caramel|treating|soft
🍧,ხილის ნაყინი|ნაყინი|დაფხვნილი ყინულის ნაყინი|იაპონური ნაყინი|დესერტი|გახეხილი ყინული|ტკბილი,shaved ice|ice cream|dessert|frozen yogurt|sorbet|summer|gelato|ice|japanese|sweet|lollipop|shaved
🍨,ნაყინი|შოკოლადის ნაყინი|ნაყინი ჭიქაში|დესერტი|ნაყინი ჯამში|ტკბილი,ice cream|dessert|chocolate|gelato|frozen yogurt|sweet|cream|summer|pistachio|ice|scoop
🍩,დონატი|ფუნთუშა|ტკბილი|შოკოლადის|დარიჩინი|პონჩიკი|პოლიციელი|პოლიცია|დესერტი|კონდიტერია|ჰომერ სიმპსონი|ტკბილეული|ნამცხვარი,doughnut|donut|chocolate|sweet|sugar|glaze|pastry|bakery|breakfast|dessert|cop|fat|desert|police|homer|jelly|milkshake
🍪,ნამცხვარი|ხრაშუნა|ქიშმიში|ორცხობილა|ქუქი|ინტერნეტ ფაილები|შოკოლადი|წახემსება|ინტერნეტი|ყავა|ფუნთუშა|ბებიის გამომცხვარი|დუხოვკა|კაპუჩინო|ჩაი|ტკბილეული|პეჩენია,cookie|biscuit|chocolate|baking|macaron|crumbs|sweet|chocolate chip|baker|dessert|cracker|ovens|internet cookies|coffee|milk|oven|snack|tea
🎂,ტორტი|დაბადების დღე|იუბილე|გილოცავ|იუბილარი|სანთლები|დღეობა|ნიგოზი|დაბადების დღის ტორტი|ზეიმი,birthday cake|cake|birthday|candle|happy birthday|party|celebration|cupcake|sweet|wishing|hbty|blow|dessert|pastry
🍰,ნამცხვარი|ტორტი|კაფე|დესერტი|მარწყვი|კონდიტერია|ტირამისუ|ტორტის ნაჭერი|ჩიზქეიქი|ლამბაქი|ნაღები|ალუბალი|გემრიელი|დეიდა|ვანილი|ნუში|სოდა|სტუმარი|ყავა|შოკოლადი|ტკბილი,shortcake|pastry chef|cake|sweet|baking|strawberry|slice|sharing|sugar|baker|moist|ovens|pieces|dessert|desert|mixer|crumbs|cake slice|cupcake|pastry
🧁,ვანილის|კექსი|მაფინი|ვანილი|შაქარლამა|ნამცხვარი|შაქარი|მიქსერი|ტოპინგი|ტკბილი|ტორტი|კონდიტერია|ქიშმიში|კაპკეიკი|ბრაუნი|კაპქეიქი|დარიჩინი|ნიგოზი|საყვარელი|დესერტი,cupcake|baker|pastry chef|baking|cake|muffin|sweet|desert|moist|bakery|macaron|donut|dessert|vanilla|covering|cute
🥧,ლობიანი|ტარტი|ხაჭაპური|ვაშლის|დუხოვკა|ვაშლის ღვეზელი|სამარხვო ნამცხვარი|ტარხუნის ღვეზელი|ღვეზელი|ბებიის გამომცხვარი|დესერტი|იმერული ხაჭაპური|ღუმელი|აჭარული|იმერული|მეგრული ხაჭაპური|ტკბილი|ამერიკული|აჭარული ხაჭაპური|ბებიის რეცეპტი|იმერეთი|საფუარი|ტარხუნა|ფქვილი|ღუმელის გაცხელება|ცომი|ხაჭაპურის გამოცხობა|პიროგი,pie|cloves|tart|bakery|cinnamon|dessert|apple pie|nutmeg|cobbler|sweet|dinner|pastry|filling|baked|spice|fruit
🍫,შოკოლადი|შოკოლადის|შოკოლადის ყუთი|ტკბილი|კაკაო|ტკბილეული|შოკოლადის ნაყინი|თხილის|ლიქიორი|ცხელი შოკოლადი|ბრაუნი|სამარხვო შოკოლადი|კონიაკი|ფილა|ცხელი შოკოლად|ვალენტინობა|თხილი|ნუში|დესერტი,chocolate bar|chocolate|sweet|candy|bitter|mint|bars|truffle|milkshake|hazelnut|addicts|caramel|cocoa|hot chocolate|slabs|truffles|bar|dessert|gelato|ice cream|snack|pieces
🍬,შაქარი|ტკბილეული|ტკბილი|კანფეტი|ალვა|კარამელის|პიტნის|ჟელატინი|საღეჭი რეზინი|კარამელი|მარმელადი|შოკოლადი|დიაბეტი|მამიდა|ჰელოუინი,candy|confectioner|sweet|sugar|mint|chocolate|chewing|gum|lollipop|favors|treating|treat|dessert
🍭,ტკბილეული|ტკბილი|ლოლიპოპი|შაქარი|კანფეტი ჯოხზე|ლოლისპოპი|კანფეტი|ლოლა,lollipop|confectioner|sweet|candy|sugar|sticky|sucking|chocolate|licking|sweethearts|sucker|childhood|spiral|dessert|kid
🍮,აგარ-აგარი|კარამელი|პუდინგი|კრემ-კარამელი|კრემ კარამელი|ჟელატინი|ჟელე|დესერტი|ტკბილი,custard|pudding|flan|jello|dessert|caramel|sweet
🍯,თაფლი|ფუტკარი|გოზინაყი|ლეღვი|ბაქლავა|კარამელის|ფახლავა|გოზინაყის დამზადება|თაფლიანი წყალი|ტკბილი|ჩაი|მურაბა|სკა|კომში|ვინი პუჰი|დათვი|ელარჯი|ლეღვის ჩირი|ცვილი|საყვარელი,honey pot|beekeeper|honey|bee|sticky|sweet|pancake|caramel|syrup|waxing|maple syrup|bear|pot|apiarist|jars|sugar|honeypot|pooh|amber|jam|cute
🍼,ბავშვი|ჩვილი|საწოვარა ბოთლი|რძე|ბოთლი|ბავშვის ბოთლი|დაბადება|პატარა|ბავშვის ტირილი|ნუბი,baby bottle|milk|baby|birth|bottles|infant|calf|foal|kitten|puppy|newborn|noob|drink|bottle
🥛,რძე|ჭიქა|მაწონი|არაჟანი|იოგურტი|კომპოტი|მინა|რძის|კაპუჩინო|ლატე|წყალი|ხაჭო|მაცივარი|ნუშის|ძროხა|კეფირი|მაწვნის შედედება|მწყურია|ნატურალური რძე|ნაღები|სოფლის პროდუქტები|ჭიქა რძე|კალციუმი|კარაქის დღვება|პიურე|სოია|ყველის ამოყვანა|ყინულიანი ჭიქა|თასი|ნამცხვარი|ფლეტ უაითი|ყავა რძით|ჯანსაღი|შოკოლადი|ცივი წყალი|წყაროს წყალი|ხაში|სასმელი,glass of milk|milk|glass|cartons|cookie|cup|water|drink|cow|cups|full|glasses|jugs|pitchers|refrigerators|shatter|swallowing|translucent|transparent|thirsty|fragile|glassblower|glassblowers|liquid|pure|shards|beverage|hydration|latte|staples|vanilla|calcium|cereal|milk glass|grocer|carafes|chia|heifer|oats|drafts|healthy|yogurt|dairy
☕,ყავა|კაფე|მწარე|ესპრესო|კაკაო|კაპუჩინო|ლატე|შაქარი|დარიჩინი|მიხაკი|დილა მშვიდობისა|ყავის|ყავის აპარატი|ცხელი შოკოლადი|დილა|დილით|ჩაი|საუზმე|ამერიკანო|ლამბაქი|მაკიატო|მეზობლის ყავა|ნალექიანი ყავა|ჟურნალების მაგიდა|ფაიფური|ფინჯანი|ფლეტ უაითი|ყავა და ჭორი|ყავა რძით|ყავის დალევა|შავი ჩაი|შესვენება|ჩაის ფინჯანი|ცხელი შოკოლად|ხსნადი ყავა|თბილი|ორშაბათი|შეხვედრა|აივანი|კარდამონი|კერამიკა|მეზობელი|მეზობლობა|მუსკატის კაკალი|პახმელია|სადილი სამსახურში|სამარხვო ნამცხვარი|შოკოლადი|ცხელი სასმელი|დასვენება|კრუასანი|სავარძელი|ტირამისუ|ჩაიდანი|გაზეთი|დაღლა|ზამთარი|თბილი საღამო|კარაქი პურზე|კვირა|კოლეგა|ლეპტოპი|მუშაობა|მყუდროება|ნამცხვარი|ოფისი|სავარძელი რბილი|სამარხვო შოკოლადი|საოფისე მაგიდა|საღამო მშვიდობისა|სმა|ჭიქა|ჭორი|ქალები ყავით,hot beverage|barista|coffee|tea|cafe|bitter|cinnamon|cozy|cup|warm|espresso|energy|steam|basic|blends|cappuccino|cardamom|hot chocolate|latte|mug|nutmeg|reviving|scalding|morning|steaming|addicts|balcony|cups|terrace|biscuit|carafes|cloves|pausing|boiling|offering|porch|preferring|roasting|robust|smelling|spilling|caffeine|croissant|donut|muffin|mugs|chocolate|colleagues|coworkers|awake|drinking|gossip|work|beverage|hazelnut|living room|locals|teacup|toast|turmeric|women coffee|drink|conversing|pouring|breakfast|colleague|coworker|hungover|meme|table|waking|hot
🫖,ჩაიდანი|ჩაი|წყლის ადუღება|ხილის ჩაი|კოჭა|ცხელი,teapot|tea|kettle|afternoon|teacup|drink|pot|cozy|ginger|british
🍵,ჩაი|გურია|მწვანე ჩაი|პიტნა|ჩაის|მაჩა|კოჭა|ლიმონი|გვირილა|შავი ჩაი|ჩაიდანი|ხილის ჩაი|აზია|ფინჯანი|ჩაის ფინჯანი|აზიური|გვირილის ჩაი|მატჩა|ასკილი|მურაბა|მცენარეული|ქაცვი|ყელი|ცაცხვი|ხველა|ჩაის ჭიქა|ცხელი,teacup without handle|herbalist|tea|matcha|coffee|teacup|bitter|soothing|cup|blends|green tea|cafe|herbalists|japanese|asian|frog|teapot|green|mint|cleanse|cups|greentea|preferring|table|breakfast|beverage|japan|drink|calming|cozy
🍶,მაიონეზი|საკე|ძმარი|იაპონური სასმელი|იაპონია|მდოგვი|ალკოჰოლი,sake|japanese|alcohol|bar|wine|beverage|drink|bottle|cup
🍾,შამპანური|მინერალური წყალი|იუბილე|შუშხუნა ღვინო|აფეთქება|არაყი|ახალი წელი|დღესასწაული|ძველი ახალი წელი|წყალი გაზით|პარტი|ბრენდი|გამარჯვება|ახალი ღვინო|ახალი წლის ღამე|ქორწილი|ღვინო|ზეიმი|ბოთლი,bottle with popping cork|champagne|wine|celebration|celebrate|bottled with popping cork|bottles|party|cheers|wedding|vodka|popping cork|distiller|bottle|sparkling|bubbly|cider|vineyard|vintner|new year|bar|bartender|cork|win|drink|popping
🍷,ღვინო|რაჭა|მარანი|კახეთი|სადღეგრძელო|რესტორანი|თამადა|სუფრა|ჭიქა|წითელი ღვინო|სარდაფი|ვახშამი|საღამო|ქვევრი|ყურძენი|ზიარება|რთველი|თელავი|საქართველო|ყანწი|ყურძნის|ახალი ღვინო|ვარდისფერი ღვინო|იმერეთი|კახური|მაჭარი|პორტვეინი|სასმელი|სასმისები|საფერავი|ქინძმარაული|ღვინის ბარი|ღვინის დაგემოვნება|ღვინო საფერავი|ღვიძლი|ძველი ღვინო|ხერესი|ხვანჭკარა|ბოკალი|ალკოჰოლი|თასი|მასპინძელი|ორმოცი|პაემანი|რომანტიკა|სიღნაღი|ყველი|ბროწეული|ვენახი|თიხის ჭურჭელი|საღამოს|ძველი ახალი წელი|სვეტსკი|თბილისობა|კოქტეილი|კოწახური|მწვადი|პიკნიკი|სავსე|სიგმა|სულის მოხსენიება|ქალების საღამო|ქელეხი|ყაურმა|ყველი და პური|ჯონჯოლი|ჭიქა ღვინო,wine glass|sommelier|wine|butlers|patrons|alcohol|bar|cooper|vineyard|drink|drinking|glass|grape|carafes|cellars|decanters|distiller|dinner|cultured|glasses|robust|casks|vats|red wine|cocktail|coopers|restaurant|vintner|aristocrats|blends|bottles|drunk|hosting|hosts|refined|thirsty|barrels|doubles|guests|party|spilling|beverage|picnic|steak|fancy|ports|adults|girls night|tasting|chill
🍸,კოქტეილი|ბარი|ჯინი|მარტინი|ვერმუტი|ალკოჰოლი|არაყი|წვეულება|ჯაზი|ჯეიმს ბონდი|სასმელი,cocktail glass|cocktail|bar|martini|gin|margarita|mojito|vodka|alcohol|drink|spirit|spirits|party|fancy|glass
🍹,კოქტეილი|წვენი|ლიქიორი|ტერასა|დასვენება|ბარი|ბლენდერი|მოხიტო|სასმელი|ტროპიკული კოქტეილი|ცივი ჩაი|პლაჟი|ჩილი|ტროპიკული სასმელი|შაბათი|ალკოჰოლი|დასასვენებლად|ზღვაზე დასვენება|პიტნა,tropical drink|bartender|cocktail|iced tea|summer|juice|drinks|vacation|chill|coconut|nightclub|beach|thirsty|deck|patio|drinking|drunk|enjoying|island|islands|pleasant|drink|pineapple|punches|bar|lemonade|mixtures|beaches|blends|cays|lagoons|relax|relaxing|tropical
🍺,ლუდი|ბარი|პაბი|ხინკალი|ალკოჰოლი|სიდრი|კათხა|პარტი|სავსე|ძმაკაცები|მიწისთხილი|ქერი|ფეხბურთი|ჭიქა ლუდი,beer mug|bartender|beer|alcohol|pub|bar|yeasts|drinking|thirsty|drink|barley|brewer|drafts|kegs|mugs|stout|tavern|coolers|drunk|yeast|staggering|cooper|drinks|locals|pretzel|vats|bars|bottles|coopers|hotdog|wheat|barrels|casks|chill|chips|bro|mug
🍻,ბარი|ლუდი|სადღეგრძელო|პარასკევი|ლუდის კათხები ჩხაკუნით|შაბათი|პონტი|ჭიქების მიჭახუნება|ლუდების მიჭახუნება|სმა|დღესასწაული|ლუდების ჩამოკვრა|ღვიძლი|გაუმარჯოს|სასმელი|უქმეები|წვეულება,clinking beer mugs|beer|cheers|bar|celebrate|brewer|kegs|party|pub|beers|clinking beers|drinks|pizza|clink|football|gig|tacos|drink|toast|mug
🥂,შამპანური|სადღეგრძელო|ჭიქების მიჭახუნება|ჭიქა|თეთრი ღვინო|მწვანე|რქაწითელი|ჭიქების ჩხაკუნი|ღვინო|იუბილე|სასმისები|შუშხუნა ღვინო|ქორწილი|ხიზილალა|ჭიქების შეჯახება|ბარი|გილოცავ|კოქტეილი|ნიშნობა|საიუბილეო|სუფრა|შამპანურის ჭიქები|ზეიმი,clinking glasses|cheers|champagne|wine|celebrate|sparkling|beer|toast|happy anniversary|bartender|cocktail|celebration|glass|anniversary|ballroom|fiancé|gala|clink|drink|wedding
🥃,არაყი|ვისკი|ჭაჭა|რომი|ტეკილა|ჭიქა|ალკოჰოლი|კონიაკი|ბრენდი|ლიქიორი|ჭიქა ვისკით|სასმელი|ბარი|სასმისები|კაცი,tumbler glass|whiskey|glass|rum|alcohol|distiller|bourbon|flasks|scotch|spirit|spirits|liquor|casks|decanters|whisky|ice|classy|bars|shot|drink|tumbler
🫗,ზეთი|დაქცეული სითხე|წყლის დასხმა|დასხმა|ღვინო|დაქცევა|ღვინო დაღვრილი|სითხის დასხმა|სასმელი,pouring liquid|pouring|overflowing|spilling|spill|empty|drink|water|fluid|waste|glass|pour
🥤,ლიმონათი|კოკა-კოლა|წყალი|გაზიანი|წვენი|ტარხუნა|გაზიანი წყალი|პეპსი|პლასტმასი|სპრაიტი|ფანტა|ცივი ჩაი|გრილი|ანანასის|ატმის|ენერგეტიკული|ჟოლოს|ფორთოხლის|ყინულიანი|წყურვილი|ნაგავი პლასტმასის|სავსე|სმა|უალკოჰოლო|ცივი ყავა|ჭიქა|ჭიქა საწრუპით|ლანჩი|სასმელი|გაზიანი სასმელი|ალუმინი|სიცხისგან დაღლა|წყალი სუფთა|წყარო|სასმელი საწრუპით|კინო|ლიმონი|მწყურია|ფორთოხალი|კოკაკოლა|ბურგერი|კარტოფილი ფრი|სასადილო|სწრაფი კვება|ჩიფსი|ცარიელი,cup with straw|barista|soda|juice|smoothie|drinking|milkshake|water|thirsty|straw|lemonade|blender|cola|shake|coffee|fastfood|sucking|drink|burger|hamburger|chia|cider|coolers|fast food|cans|cinema|taro|liquid|straw cup|cup|drinks|fries|hydration|coke|cheeseburger|sandwich|bottles|cups|lunch
🧋,ბაბლ თი|ცივი ყავა|ჩაი ბურთულებით|ბაბლ ჩაი|ტაივანი|სვეტსკი|ბობა|ტკბილი სასმელი,bubble tea|boba|tea|taiwan|sweet|bubble|milk|trendy|pearl|drink
🧃,წვენი|ყუთის წვენი|წვენი ყუთში|ბავშვობის მოგონება|პატარა|ბავშვობის|წვენის ყუთი|სასმელი,beverage box|juice|kid|drink|box|beverage|juice box|sweet|straw
🧉,მატე|არგენტინა|სასმელი|ჩაი,mate|mates|herbal|south america|drink|tea|argentina
🧊,ყინული|მაცივარი|ცივი|ყინულიანი|ცივი ყავა|ცივი ჩაი|საყინულე|ყინულიანი ჭიქა|ყინულის კუბი|ცივი საზამთრო|ცივი წყალი|კულ|ყინვა|წყალი|წყალი სუფთა|კუბი,ice|solid|cold|iceberg|cool|ice cube|slippery|slipping|coolers|freezers|iceboxes|freeze|glacier|iced tea|numb|smooth|ice storm|ice storms|translucent|glaze|whiskey|chill|lemonade|cube|refreshing|slick|titanic|water
🥢,ჩინური ჩხირები|აზიური საჭმელი|ჩხირები|ქსოვა|სუში|ჩხირი|აზიური|გამხდარი|საჭმელი ჩხირები|ჭამა,chopsticks|sushi|ramen|asian|wasabi|dumpling|noodles|takeout|chinese|dim sum|hashi|food|skinny|eat
🍽️,რესტორანი|თეფში|სადილი|ვახშამი|ჭამა|სუფრა|მაგიდა|ჩანგალი|ჭურჭლის სარეცხი|მასპინძელი|ოჯახური სადილი|სასადილო|სუფრის გადასაფარებელი|ქელეხი|ჩირების ასორტი|ჭურჭელი|დანა და ჩანგალი|ლობიანი|სამზარეულო|შუადღე|გემრიელი საჭმელი|დანა-ჩანგალი თეფშით|ბადრიჯანი|დანა|დანა-ჩანგალი|კოვზი|ხელსახოცი|ხინკალი|გახსნილება|თევზი|იხვი|კერამიკა|ლობიო|მზარეული|ნიგვზიანი ბადრიჯანი|ჟულიენი|ფაიფური|ფხალი|ყველი|თეფში და დანა-ჩანგალი|საჭმელი,fork and knife with plate|caterer|waiter|server|waitress|butler|dinner|restaurant|butlers|table|plate|plate with cutlery|dishes|eating|plates|serving|lobster|meal|sink|fork and knife|kitchen|left no crumbs|steak|dining|plate fork knife|clam|menu|mussel|cooking|food|fork|critics|guests|hungry|shrimp|knife|eat
🍴,ჩანგალი|დანა-ჩანგალი|ჭამა|დანა და ჩანგალი|სადილი|შია|საჭმელი|რესტორანი,fork and knife|eating|food|cutlery|silversmith|silversmiths|restaurant|dinner|silver|plate|eat|hungry|cooking|spoon|fork|meal|knife
🥄,კოვზი|სუპი|ხის კოვზი|ბულიონი|მაწონი|ფაფა|წიწიბურა|ჭამა|არაჟანი|იოგურტი|ნადუღი|წვნიანი,spoon|cutlery|soup|yogurt|fork and knife|plate|tableware|eat
🔪,დანა|სამზარეულოს დანა|მკვლელი|საჭრელი|საზამთროს გაჭრა|სამზარეულო|ოპერაცია|საზამთრო|საშიში|ჭრა,kitchen knife|butcher|woodcarver|fishmonger|poulterer|carvers|engravers|knife|cooking|dull|sharp|dagger|kitchen|weapon|cut|maniacs|psychos|danger|woodcarvers|surgeon|surgeons|hocho|csgo|cook|chef|chop|kill|stab|tool|scary
🫙,მურაბა|ჯემი|ქილა|ცარიელი|შუშის ქილა|მწნილი|შუშა|კონტეინერი,jar|empty|container|jars|glass|keepers|storing|honey|jam|condiment|pickle|storage|store|sauce
